GENESIS-Tabelle: 41241-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation (field crops and grassland): Germany,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"years (until 2009), types of crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area under cultivation (ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Cereals (incl. grain maize and corn cob mix),4443661,4406764,4699155,4777037,4809385,4839873,4906788,4911463,4951963,4966710,4900348,4905898,4898748,4929500,4997778,4924260,4939404,4972202,5086478,5151655,5184071,5249665,5303063,5286089,5298095,5292882,5274907,5280339,5333116,5233753,5212163,5129950,5069179,5044052,4940823,4884414,4811982,4697297,4733602,4639463,6948311,6559832,6514455,6223587,6235404,6526731,6707371,7014075,7041632,6634683,7015689,7045737,6940984,6839433,6946947,6839000,6702200,6571689,7038500,6908400
Cereals (excluding grain maize and corn cob mix),4436874,4399220,4691701,4770171,4801792,4833075,4899593,4905813,4947564,4961967,4894099,4898341,4886028,4916402,4979682,4897439,4908029,4930608,5028101,5070264,5084574,5133384,5185076,5180161,5190528,5196821,5172399,5180727,5216615,5118398,5093344,5001057,4908927,4875103,4759235,4703413,4624887,4502949,4534606,4430557,6719865,6276780,6218797,5892472,5889965,6201666,6335255,6645808,6700603,6263947,6654849,6649193,6542238,6376077,6485249,6395800,6301200,6168480,6518000,6444100
Bread cereals,2465608,2404560,2644543,2644833,2730250,2734849,2709676,2772137,2890618,2838023,2796779,2645361,2468171,2580226,2647617,2590797,2455138,2433413,2471503,2405270,2395835,2450315,2504579,2372446,2365796,2220337,2320679,2323666,2292819,2210484,2235550,2131887,1999867,2111597,2084656,2061746,2072582,2094151,2133161,2169450,3496714,3172876,3223908,3066058,3168342,3450577,3414781,3574925,3748806,3358043,3821672,3743428,3752490,3507028,3746180,3732200,3662800,3672766,3960200,3985400
Wheat,1020329,1037141,1203347,1165163,1116953,1181370,1155311,1231494,1313922,1341693,1395730,1397456,1319433,1382120,1446530,1411767,1388735,1414293,1464002,1494381,1493369,1544443,1626027,1603080,1630968,1569159,1631633,1598761,1619338,1627488,1668210,1631500,1577744,1655182,1634207,1623731,1648075,1671422,1743369,1776897,2429610,2453332,2598471,2394642,2434910,2578793,2594418,2719643,2802455,2601122,2968940,2897202,3014620,2963731,3111651,3173800,3114700,2992075,3213500,3226000
Soft wheat,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2384998,2423984,2571604,2586405,2713008,2790768,2589101,2960322,2892524,3009771,2956382,3103446,3163500,3102900,2984501,3207000,3214800
Winter wheat,955542,954458,1142232,1023911,919289,1028350,1007641,1076274,1205249,1219053,1294520,1201955,1043774,1179138,1269596,1270140,1176595,1227958,1303671,1312559,1333108,1349524,1436146,1378559,1395110,1237034,1403331,1422369,1440488,1482801,1532499,1494663,1237460,1553941,1552818,1536960,1555779,1590342,1667665,1713740,2371052,2372968,2521635,2323689,2351884,2530069,2543521,2647769,2745878,2439791,2913659,2849746,2961965,2832614,3057263,3110100,3058300,2954771,3163900,3178400
Spring wheat,64787,82683,61115,141252,197664,153020,147670,155220,108673,122640,101210,195501,275659,202982,176934,141627,212140,186335,160331,181822,160261,194919,189881,224521,235858,332125,228302,176392,178850,144687,135711,136837,340285,101242,81390,86773,92297,81080,64612,50274,48894,64299,60994,61307,72099,41534,42884,65239,44890,149310,46662,42778,47806,123768,46183,53300,44600,29730,43100,36400
Hard wheat (Durum wheat),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11092,12884,.,16066,15844,9644,10926,7189,8013,6635,11687,12021,8618,4679,4849,7349,8205,10300,11700,7574,6500,11200
Rye,1377341,1303045,1367567,1404747,1542144,1485806,1491020,1475461,1502754,1426069,1317586,1183651,1092417,1139096,1146192,1127934,1020734,974675,962482,873359,864959,864500,842907,739034,708263,624285,663461,701553,650857,564385,545958,484305,407254,444846,439449,425792,413715,412019,378330,382400,1055447,710502,614618,661812,722534,861374,809052,843426,936395,748170,842685,836981,728388,531231,624945,549100,538900,670939,736900,749400
