GENESIS-Tabelle: 41241-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation, harvested quantity, yield per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hectare (field crops and grassland): Germany, years, types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare
,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha
Cereals for the prod. of grain (incl. grain maize),6526000,47757200,73.2,6460600,52010400,80.5,6517500,48866800,75.1,6316400,45364500,71.8,6266600,45556800,72.7,6141700,37948100,61.8,6372500,44302400,69.5,6065100,43265000,71.3,6053000,42359500,70.0,6101300,43478900,71.3,6073200,42481600,70.0
Cereals for the prod. of grain (excl. grain maize),6029000,43369900,71.9,5979300,46868300,78.4,6062000,44893800,74.1,5900000,41346700,70.1,5834600,41009100,70.3,5730800,34603800,60.4,5956500,40637600,68.2,5645800,39245000,69.5,5622300,37897000,67.4,5644600,39641500,70.2,5600900,38213400,68.2
Wheat,3128200,25019100,80.0,3219700,27784700,86.3,3282700,26549500,80.9,3201700,24463800,76.4,3202600,24481600,76.4,3036300,20263500,66.7,3118100,23062600,74.0,2835500,22172100,78.2,2939000,21459200,73.0,2980900,22587300,75.8,2884000,21572400,74.8
Winter wheat (incl. spelt and one-grained wheat),3066200,24634100,80.3,3159000,27415100,86.8,3210400,26169900,81.5,3131200,24089700,76.9,3130900,24079900,76.9,2893300,19595000,67.7,3054900,22756200,74.5,2758700,21751600,78.8,2870800,21094400,73.5,2887900,22089600,76.5,2811100,21199100,75.4
Spring wheat (excluding hard wheat),53400,332400,62.2,49400,296100,60.0,53500,292400,54.7,45300,239500,52.9,42100,231200,55.0,112900,530500,47.0,31800,151700,47.7,42800,237500,55.5,30700,157900,51.4,52200,279300,53.5,30600,131000,42.8
Hard wheat (Durum wheat),8600,52700,61.3,11300,73600,65.3,18800,87300,46.5,25300,134600,53.3,29600,170400,57.5,30200,138100,45.8,31500,154700,49.2,34000,183000,53.8,37500,206900,55.1,40800,218400,53.5,42200,242300,57.4
Rye and maslin,784600,4689100,59.8,629900,3854400,61.2,616000,3487800,56.6,570900,3173800,55.6,537300,2737400,50.9,523000,2201400,42.1,636300,3237600,50.9,636000,3513400,55.2,631000,3325600,52.7,588500,3132300,53.2,628800,3156400,50.2
Barley,1570400,10343600,65.9,1573700,11562800,73.5,1621800,11629900,71.7,1605000,10730500,66.9,1566100,10853400,69.3,1662000,9583600,57.7,1708800,11591500,67.8,1667300,10769200,64.6,1539500,10411100,67.6,1582600,11207100,70.8,1608700,11063400,68.8
Winter barley,1211000,8397600,69.3,1227800,9495800,77.3,1252900,9630800,76.9,1267200,8959300,70.7,1226600,9019300,73.5,1216100,7374300,60.6,1351900,9762800,72.2,1304100,8776600,67.3,1241100,8891400,71.6,1211500,9231300,76.2,1287100,9628900,74.8
Spring barley,359400,1946100,54.2,345900,2067000,59.8,368900,1999100,54.2,337800,1771200,52.4,339500,1834100,54.0,445900,2209200,49.5,356900,1828700,51.2,363300,1992600,54.9,298400,1519700,50.9,371100,1975900,53.2,321600,1434500,44.6
Oats,131500,627700,47.7,123800,627100,50.6,125700,566300,45.1,115500,535900,46.4,128100,576500,45.0,140400,577600,41.1,126300,519300,41.1,157100,721900,46.0,177300,766500,43.2,160100,754700,47.1,141400,467000,33.0
