"Crops by unit, crop, area and time"

" "," "," ","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Farms (numbers)"
" ","3.1 Potatoes"
" "," ","Total",9924,8517,8087,7482,6421,6085,6006,5220,5159,5086,5334,4784,4216,4274,4724,3495,3204,3290,3230,2991,2878,2662,2690,2514,2161,2141,2207,1997,1957,1934,2034,1929,1857,1469,1680,1754,1634,1612,1694,1596,1489
" "," ","Less than 10.0 hectares",1935,1593,1313,1249,962,904,983,674,585,530,469,366,471,467,625,201,343,258,195,151,165,251,243,214,183,211,244,184,230,235,240,289,159,120,175,232,189,153,152,149,152
" "," ","10.0 - 19.9 hectares",2572,2169,1962,1709,1464,1290,1286,955,906,712,752,710,485,565,674,421,354,360,364,345,337,277,324,272,218,231,201,215,200,204,280,224,243,103,174,127,109,157,142,122,120
" "," ","20.0 - 29.9 hectares",1726,1524,1442,1322,1080,1014,857,788,708,714,585,549,405,424,561,343,247,295,230,265,295,272,273,255,180,201,224,143,162,120,93,126,139,76,136,151,108,115,99,131,83
" "," ","30.0 - 49.9 hectares",1972,1640,1735,1540,1335,1279,1266,1145,1091,1059,1225,955,921,749,807,693,551,536,593,472,331,358,335,325,369,270,277,260,247,250,308,237,235,188,192,176,196,135,174,121,103
" "," ","50.0 - 74.9 hectares",998,891,887,914,816,809,786,768,812,861,864,841,723,701,708,571,531,537,521,452,463,352,308,321,264,262,306,257,229,201,243,219,157,152,163,199,143,148,152,117,138
" "," ","75.0 - 99.9 hectares",368,353,387,364,365,376,393,404,463,519,567,507,455,495,463,419,327,393,384,390,311,296,294,290,192,191,204,187,170,185,138,141,149,133,107,99,113,111,128,95,114
" "," ","100.0 - 199.9 hectares",308,307,312,332,352,353,371,414,499,549,676,662,603,681,662,623,626,660,661,642,703,569,602,542,431,453,447,434,394,379,346,357,414,333,337,352,327,313,323,337,289
" "," ","200.0 hectares and over",45,40,48,52,48,60,64,72,95,143,195,193,154,192,224,224,225,251,283,274,272,287,312,296,324,323,304,317,325,360,385,337,361,364,397,418,448,480,524,523,489
" ","3.1.1 Seed potatoes"
" "," ","Total",..,..,..,..,..,..,585,635,555,737,884,757,637,..,637,572,491,533,565,540,421,437,701,819,652,669,662,621,592,554,543,546,574,489,508,540,456,506,555,528,556
" "," ","Less than 10.0 hectares",..,..,..,..,..,..,17,33,8,14,8,22,10,..,38,13,..,6,..,..,..,16,..,..,12,14,6,13,6,..,..,..,..,..,..,27,..,..,..,..,..
" "," ","10.0 - 19.9 hectares",..,..,..,..,..,..,84,76,58,53,74,46,45,..,20,42,57,18,24,20,..,..,33,13,10,6,6,14,12,..,..,9,32,..,13,22,22,5,9,5,..
